['0.0000000e+00', '-2.4640414e+01', '-2.2030976e+01', '-1.9510388e+01', ' 1.8649014e+01', ' 2.1203944e+01', ' 1.3700366e+01', '-4.2758080e+00', '-2.0418123e+01', '-2.1096571e+01', ' 2.4289226e+00', ' 1.3073669e+01', ' 2.0202992e+01', '-1.0985094e+01', '-1.5342172e+01', ' 1.4258494e+01', '-2.3354194e+01', ' 1.6342908e+01', ' 2.1026177e+01', '-2.5830642e+01', '-1.1718194e+01', ' 1.4745395e+01', '-1.6029560e+01', '-2.6063784e+01', '-2.6226003e+00', ' 3.9510372e+00', ' 2.3072328e+01', ' 1.1529731e+01', ' 1.9255641e+01', ' 1.1757206e+01', ' 2.0871262e+01', '-1.5949339e+01', '-1.6140329e+01', '-1.5378682e+01', ' 1.9163095e+01', ' 2.1181032e+01', '-1.1696700e+01', '-1.2575394e+01', ' 1.9677634e+01', '-1.2664680e+01', ' 2.5111780e+01', ' 2.0436443e+01', ' 1.5171390e+01', ' 9.1874551e+00', ' 6.4693881e+00', ' 8.3270238e+00', ' 1.2783642e+01', ' 1.7693443e+01', ' 8.2788714e+00', ' 1.7612711e+01']
['-2.6063784e+01', ' 2.3285807e+01', ' 1.5021891e+01', ' 2.0898301e+01', ' 3.4477000e+00', '-3.1712896e+01', '-2.7244393e+01', ' 1.8668543e+01', ' 2.9157701e+01', ' 9.3532502e+00', ' 5.4174064e+00', '-8.5299785e+00', '-3.1642671e+01', ' 2.5862365e+01', '-2.5318434e+00', '-1.3083192e+01', ' 3.2067200e+01', '-1.8087420e+01', '-9.1864099e+00', ' 3.1372508e+01', ' 2.8344269e+01', '-1.9300393e+01', ' 1.6927373e+01', ' 0.0000000e+00', ' 2.1682013e+01', '-2.0137387e+01', ' 3.3940222e+00', ' 1.6059392e+01', '-3.0462888e+01', '-1.3333510e+00', ' 2.7679196e+00', ' 1.9867305e+01', ' 1.9421435e+01', ' 5.4844399e+00', '-2.2132208e+01', '-2.1768744e+01', ' 1.5399530e+01', '-7.3100506e-01', '-2.4419442e+01', ' 4.1191751e+00', '-2.4940452e+01', '-2.4635775e+01', '-1.5995938e+01', ' 6.8503780e+00', ' 1.5855448e+01', ' 1.6235213e+01', '-1.5351349e+01', '-2.9119563e+01', '-7.6696132e+00', '-2.3518096e+01']
['-2.6226003e+00', ' 8.4466805e+00', ' 5.4455562e+00', '-4.1226161e+00', ' 4.1415527e+00', '-1.0707344e+01', '-1.1294014e+01', ' 3.4377831e+01', ' 2.5794972e+01', '-2.1057131e+01', ' 1.3412797e+01', '-1.9230015e+01', '-2.7516411e+01', ' 2.9258006e+01', '-2.3401247e+01', '-2.5537288e+01', ' 1.5822796e+01', ' 2.0084230e+01', ' 3.0070715e+01', ' 2.9652849e-02', ' 4.9375689e-01', ' 2.3169291e+01', '-2.2317894e+01', ' 2.1682013e+01', ' 0.0000000e+00', '-3.7866067e+01', ' 2.7363496e+00', ' 8.0446123e+00', '-1.1889813e+01', ' 3.0772135e+01', ' 5.4700978e+00', '-2.6796244e+01', '-2.8097606e+01', ' 2.0473432e+01', ' 1.4769071e+01', ' 4.8170401e+00', '-2.7299198e+01', '-1.5131754e+00', '-1.8559799e+01', '-8.1426358e+00', '-7.3758124e+00', '-1.0804218e+01', ' 1.1638781e+01', ' 9.1561597e+00', ' 2.3905663e+01', ' 1.9537416e+01', ' 2.6580069e+01', '-2.0038209e+01', '-1.1365895e+00', ' 5.5305150e+00']
['3.9510372e+00', '-1.2718630e+01', '-3.6591130e+00', ' 4.9522513e-02', '-4.8105220e+00', ' 7.1815521e+00', ' 2.1425024e+01', '-3.4689669e+01', '-2.6521629e+01', ' 2.0506829e+01', '-2.5993802e+01', ' 2.5563554e+01', ' 3.3093810e+01', '-2.7220172e+01', ' 1.3836255e+01', ' 2.9530021e+01', '-1.4589173e+01', ' 1.6087460e+00', '-2.5242318e+01', ' 2.0718436e+00', '-8.9349986e+00', '-2.5543429e+01', ' 2.5672818e+01', '-2.0137387e+01', '-3.7866067e+01', ' 0.0000000e+00', '-3.5904418e+00', '-9.0791315e+00', ' 2.1939535e+01', '-2.8157836e+01', '-1.0015931e+00', ' 1.7949520e+01', ' 2.1093630e+01', ' 5.2132228e+00', '-1.2016646e+01', '-5.9519455e+00', ' 1.4738687e+01', ' 1.5870008e+01', ' 2.7109317e+01', ' 9.0064746e+00', ' 5.3369434e+00', ' 1.2206716e+01', '-1.4066813e+01', '-1.6392062e+01', '-9.1891868e+00', '-2.1107475e+01', '-2.5926192e+01', ' 2.3131805e+01', '-6.7311097e+00', '-2.1995748e+01']
['2.3072328e+01', ' 1.6695222e+01', ' 2.2360463e+01', ' 2.7999078e+01', ' 3.2278693e+01', '-1.4629569e+01', '-1.8511963e+01', ' 2.6683064e+00', ' 3.3296441e+00', ' 1.8292276e+01', ' 2.6697289e+01', '-1.5341958e+01', '-1.6024858e+01', ' 8.5932267e-01', ' 3.6989179e+00', '-5.9077351e+00', ' 2.0313820e+01', '-1.0923266e+01', '-2.0820106e+00', ' 1.8500789e+00', ' 1.7677288e+01', '-3.3815443e-01', ' 1.3424195e+01', ' 3.3940222e+00', ' 2.7363496e+00', '-3.5904418e+00', ' 0.0000000e+00', ' 2.6206570e+01', '-1.6052520e+01', ' 5.2162555e+00', ' 2.5987000e+01', ' 4.4444727e+00', ' 2.1847908e+00', '-3.5440401e+00', '-1.3083482e+01', '-9.8218457e+00', ' 1.4070376e+00', '-1.6842647e+00', '-5.7568723e+00', ' 4.4451209e+00', '-6.8573535e+00', '-5.5622046e+00', '-3.9150822e+00', '-9.7722503e+00', '-1.2046073e+01', ' 6.8670500e+00', '-6.1292806e+00', '-1.0895297e+01', '-9.4813746e+00', '-7.6533040e+00']
['1.1529731e+01', ' 2.5604251e+01', ' 2.3205027e+01', ' 2.9013196e+01', ' 3.2634928e+01', '-2.2066211e+01', '-2.3337584e+01', ' 6.1548594e+00', ' 1.7417114e+01', ' 2.2899794e+01', ' 2.8605211e+01', '-1.2495064e+01', '-2.2751080e+01', ' 7.6249047e+00', ' 1.4156058e+01', '-3.6908411e+00', ' 2.8951096e+01', '-1.0566204e+01', '-4.7548992e+00', ' 1.6997954e+01', ' 2.5009013e+01', ' 8.4822075e+00', ' 1.7526213e+01', ' 1.6059392e+01', ' 8.0446123e+00', '-9.0791315e+00', ' 2.6206570e+01', ' 0.0000000e+00', '-1.2713819e+01', '-2.4191959e+00', ' 2.2637536e+01', ' 8.5345828e+00', ' 9.4313299e+00', ' 8.5051076e+00', '-2.3598906e+01', '-1.7244443e+01', ' 5.6894809e+00', ' 2.6329639e+00', '-2.1595629e+01', ' 1.5149577e+01', '-1.8868034e+01', '-1.9762729e+01', '-8.7321709e+00', '-1.7085035e+01', '-1.7168643e+01', '-8.2619814e-01', '-6.4190990e+00', '-2.5794406e+01', '-1.6217674e+01', '-8.4266690e+00']
['1.9255641e+01', '-5.5500295e+00', '-2.3875518e+01', '-3.1462108e+01', '-1.7624529e+01', ' 2.6480285e+01', ' 7.8724688e+00', '-3.0392054e+01', '-1.8223518e+01', '-5.1828533e-01', ' 1.1212673e+01', ' 3.2797430e+01', ' 2.1112753e+01', '-3.1502497e+01', ' 1.7186893e+00', ' 3.0617023e+01', '-2.2824858e+01', ' 1.6555931e+01', ' 2.5613658e+01', '-2.9065581e+01', '-2.9272124e+01', '-9.7552571e+00', '-1.8543940e+01', '-3.0462888e+01', '-1.1889813e+01', ' 2.1939535e+01', '-1.6052520e+01', '-1.2713819e+01', ' 0.0000000e+00', '-1.9140788e+01', '-8.1644685e-01', '-1.0050020e+01', '-2.6199780e+00', '-2.3801419e+01', '-1.6740691e+00', ' 1.8157398e+00', '-5.0032266e+00', '-1.8286142e+01', ' 7.9137336e+00', '-1.1582783e-02', ' 2.0416743e+01', '-1.0293639e+01', '-1.5624649e+01', '-2.3537369e+01', '-1.7419260e+01', '-2.7434797e+01', ' 1.1810491e+01', ' 1.8667379e+00', '-1.8414649e+01', ' 2.2633568e+01']
['1.1757206e+01', '-1.2289526e+01', '-1.0499378e+01', ' 8.5114841e-02', ' 2.8707103e+00', ' 6.2832583e+00', '-9.5107703e+00', ' 3.0842966e+01', '-7.1983333e+00', '-2.4120239e+01', ' 4.7380696e+00', '-2.3549243e+01', '-1.4506311e+01', ' 2.3604268e+01', '-2.4927809e+01', '-2.1922207e+01', '-1.8906790e+00', ' 8.1858138e+00', ' 1.9295979e+01', '-1.1168883e+01', '-5.3534480e+00', ' 1.9634005e+01', '-2.0557547e+01', '-1.3333510e+00', ' 3.0772135e+01', '-2.8157836e+01', ' 5.2162555e+00', '-2.4191959e+00', '-1.9140788e+01', ' 0.0000000e+00', ' 2.8290028e+00', '-2.9263061e+01', '-2.8666697e+01', '-3.9370838e+00', ' 2.2029290e+01', ' 2.1370698e+01', '-2.9839676e+01', '-1.7759075e+00', ' 1.3066216e+01', '-2.4459294e+01', ' 1.5277311e+01', ' 1.6631458e+01', ' 2.1085541e+01', ' 2.0870732e+01', ' 2.0512385e+01', ' 2.7625618e+01', ' 2.6774805e+01', ' 2.0557791e-03', ' 6.8617144e+00', ' 1.5014507e+01']
['2.0871262e+01', ' 1.5299882e+01', ' 2.1299100e+01', ' 2.3022991e+01', ' 2.8828444e+01', '-1.4742090e+01', '-1.6193737e+01', '-6.0046568e+00', ' 4.0042674e+00', ' 1.5445075e+01', ' 2.5429941e+01', '-6.5809990e+00', '-1.4400838e+01', '-3.6928868e+00', ' 4.8191611e+00', '-1.1283812e+00', ' 1.3721926e+01', '-1.1853629e+01', ' 7.0657748e+00', '-6.0012512e+00', ' 1.3449909e+01', '-6.4698206e+00', ' 9.7606109e+00', ' 2.7679196e+00', ' 5.4700978e+00', '-1.0015931e+00', ' 2.5987000e+01', ' 2.2637536e+01', '-8.1644685e-01', ' 2.8290028e+00', ' 0.0000000e+00', ' 3.1938410e+00', ' 5.1169258e+00', '-6.7019809e+00', '-1.7023578e+01', '-1.9669879e+00', ' 1.6913799e+00', '-1.2495072e+01', '-1.1254525e+01', ' 7.5012053e-01', ' 2.3035194e-01', '-8.1519522e+00', '-1.1107340e+01', '-8.3063014e+00', '-7.0639591e+00', ' 4.6446292e+00', '-3.0039157e+00', '-1.9049538e+01', '-1.1724148e+01', ' 2.9637206e-01']
['-1.5949339e+01', ' 1.6673608e+01', ' 2.0010632e+01', ' 1.7519156e+01', ' 6.0137557e+00', '-1.3866527e+01', '-9.9498640e+00', '-2.8004943e+01', ' 2.4072501e+01', ' 2.1766004e+01', '-4.1064832e+00', '-7.3323288e+00', '-1.3633337e+01', '-2.0484500e+01', ' 2.7270826e+01', '-1.0850071e+01', '-9.9836431e+00', '-2.6891221e+01', '-2.7213667e+01', ' 2.7469522e+01', ' 1.2368413e+01', '-2.8566522e+01', ' 2.3624491e+01', ' 1.9867305e+01', '-2.6796244e+01', ' 1.7949520e+01', ' 4.4444727e+00', ' 8.5345828e+00', '-1.0050020e+01', '-2.9263061e+01', ' 3.1938410e+00', ' 0.0000000e+00', ' 3.1516931e+01', ' 1.4242458e+01', '-2.2691960e+01', '-2.5730747e+01', ' 3.0512092e+01', '-4.9804070e+00', '-1.6749278e+01', ' 2.6742072e+01', '-2.1093390e+01', '-2.0104599e+01', '-2.2952572e+01', '-1.0207775e+00', '-1.5998237e+01', '-1.2548222e+01', '-2.1973847e+01', '-9.9539677e+00', '-1.6114876e+01', '-2.0100291e+01']
['-1.6140329e+01', ' 1.7065147e+01', ' 1.9117380e+01', ' 1.5355563e+01', ' 8.5785407e+00', '-1.5240826e+01', ' 1.1932565e+00', '-2.6211650e+01', ' 1.9217958e+01', ' 2.1839538e+01', '-4.5980389e+00', ' 5.2790809e+00', '-5.0026474e+00', '-2.2067474e+01', ' 2.7079198e+01', '-1.4294299e+00', '-5.6009033e+00', '-2.6357164e+01', '-2.8005039e+01', ' 2.5988845e+01', ' 1.4965751e+01', '-2.4874433e+01', ' 2.4881248e+01', ' 1.9421435e+01', '-2.8097606e+01', ' 2.1093630e+01', ' 2.1847908e+00', ' 9.4313299e+00', '-2.6199780e+00', '-2.8666697e+01', ' 5.1169258e+00', ' 3.1516931e+01', ' 0.0000000e+00', ' 1.0649207e+01', '-2.2662443e+01', '-2.3942944e+01', ' 3.1052563e+01', '-1.7679273e+00', '-1.7261681e+01', ' 2.6020942e+01', '-1.8781071e+01', '-2.0051085e+01', '-2.4199403e+01', '-9.0471182e+00', '-1.7645962e+01', '-1.3925013e+01', '-2.1881908e+01', '-9.0277189e+00', '-1.6690472e+01', '-2.0039019e+01']
['-1.5378682e+01', ' 1.2448272e+01', ' 9.2602351e+00', ' 1.0211020e+01', ' 6.8601875e+00', '-2.9356865e+01', ' 2.0198323e+00', '-4.2784086e+00', ' 2.4999267e+01', '-2.7550173e-01', '-1.9193529e+00', '-2.9912083e+01', ' 1.9844731e+01', ' 1.0526250e+01', ' 1.9984918e+01', '-2.5005408e+01', '-1.2792658e+01', ' 1.9917932e+01', '-2.3903180e+01', ' 2.4268622e+01', ' 6.5530676e+00', ' 2.1065732e+01', ' 4.5582226e+00', ' 5.4844399e+00', ' 2.0473432e+01', ' 5.2132228e+00', '-3.5440401e+00', ' 8.5051076e+00', '-2.3801419e+01', '-3.9370838e+00', '-6.7019809e+00', ' 1.4242458e+01', ' 1.0649207e+01', ' 0.0000000e+00', '-2.3710955e+01', '-1.6389043e+01', ' 1.2130728e+01', ' 2.5123959e+01', ' 6.6238199e-01', ' 1.9319559e+01', '-2.1201521e+01', '-8.4418681e-01', ' 1.8890076e+01', '-8.8095722e+00', ' 2.2269224e+00', '-2.0897709e+00', ' 1.0315586e+01', '-1.7052809e+01', '-3.6473761e+00', '-2.3513032e+01']
['1.9163095e+01', '-3.1596780e+01', '-2.4167191e+01', '-2.9001476e+01', '-2.4459626e+01', ' 3.5626563e+01', ' 2.9720414e+01', ' 2.7301972e+01', '-3.4491766e+01', '-2.4994176e+01', '-2.4036116e+01', ' 1.8383140e+01', ' 2.0362336e+01', '-1.0214606e+01', '-2.4210149e+01', ' 1.5808544e+01', '-2.4520434e+01', ' 1.7322197e+01', ' 1.9294638e+01', '-2.6786668e+01', '-1.7542707e+01', ' 1.9395094e+01', '-2.1992149e+01', '-2.2132208e+01', ' 1.4769071e+01', '-1.2016646e+01', '-1.3083482e+01', '-2.3598906e+01', '-1.6740691e+00', ' 2.2029290e+01', '-1.7023578e+01', '-2.2691960e+01', '-2.2662443e+01', '-2.3710955e+01', ' 0.0000000e+00', ' 2.6598530e+01', '-1.9066177e+01', '-6.8927071e-01', ' 2.8581957e+01', '-2.2182015e+01', ' 2.7910430e+01', ' 2.6681867e+01', ' 1.2095659e+01', ' 1.4570068e+01', ' 2.2824073e+01', ' 8.6653983e+00', ' 7.7032888e+00', ' 3.5250771e+01', ' 1.7669552e+01', ' 7.5416160e+00']
['2.1181032e+01', '-2.8275011e+01', '-2.4500031e+01', '-2.4997224e+01', '-2.0326054e+01', ' 2.1088655e+01', ' 3.0770424e+01', ' 1.7203367e+01', '-3.3661151e+01', '-2.4528933e+01', '-8.9454188e+00', ' 1.7160786e+01', ' 1.7966984e+01', ' 1.6749643e+01', '-2.4292820e+01', ' 1.7834249e+01', '-2.0106585e+01', ' 6.7375222e+00', ' 1.4836297e+01', '-2.5571679e+01', ' 1.3918786e+00', ' 2.5964316e+01', '-2.2235895e+01', '-2.1768744e+01', ' 4.8170401e+00', '-5.9519455e+00', '-9.8218457e+00', '-1.7244443e+01', ' 1.8157398e+00', ' 2.1370698e+01', '-1.9669879e+00', '-2.5730747e+01', '-2.3942944e+01', '-1.6389043e+01', ' 2.6598530e+01', ' 0.0000000e+00', '-2.3158017e+01', '-2.6397727e+01', ' 2.3082010e+01', '-2.5668769e+01', ' 3.0932764e+01', ' 2.8866898e+01', ' 2.1600726e+01', ' 1.5038292e+01', ' 2.0323876e+01', ' 1.3691442e+01', ' 1.7031467e+01', ' 1.3176153e+01', ' 1.1500856e+01', ' 1.9516579e+01']
['-1.1696700e+01', ' 1.3104168e+01', ' 1.5839508e+01', ' 1.1569620e+01', ' 8.5148767e+00', '-1.6216218e+01', '-8.8377074e+00', '-2.8738559e+01', ' 1.9139989e+01', ' 1.9950154e+01', '-4.7263987e+00', '-1.2552764e+00', '-2.9915833e+00', '-2.5967961e+01', ' 2.6867267e+01', ' 2.6902333e-01', '-6.2970486e+00', '-2.3038406e+01', '-2.7275296e+01', ' 1.2286875e+01', ' 2.7494231e+00', '-2.6412962e+01', ' 2.2472991e+01', ' 1.5399530e+01', '-2.7299198e+01', ' 1.4738687e+01', ' 1.4070376e+00', ' 5.6894809e+00', '-5.0032266e+00', '-2.9839676e+01', ' 1.6913799e+00', ' 3.0512092e+01', ' 3.1052563e+01', ' 1.2130728e+01', '-1.9066177e+01', '-2.3158017e+01', ' 0.0000000e+00', '-5.5967431e+00', '-1.1818484e+01', ' 2.6731484e+01', '-1.6228939e+01', '-1.6643945e+01', '-2.1700148e+01', '-1.8138084e+00', '-1.5383053e+01', '-1.7003586e+01', '-2.2799031e+01', '-9.1083502e+00', '-1.4057656e+01', '-1.3360896e+01']
['-1.2575394e+01', '-4.2794495e+00', ' 6.9722417e-01', ' 7.6329759e+00', ' 4.6385091e+00', ' 3.0898813e-01', '-2.0689717e+01', ' 1.1174222e+01', ' 9.5516050e+00', ' 3.2019371e+00', '-2.1735900e+01', '-1.0713405e+01', ' 1.2001954e+01', ' 4.8113302e+00', '-1.3549884e+00', '-7.1951557e+00', ' 1.8506419e+01', ' 1.7566807e+01', '-1.8605877e+01', ' 1.6552318e+01', '-5.6505479e-01', ' 8.2737078e+00', ' 1.8631624e+01', '-7.3100506e-01', '-1.5131754e+00', ' 1.5870008e+01', '-1.6842647e+00', ' 2.6329639e+00', '-1.8286142e+01', '-1.7759075e+00', '-1.2495072e+01', '-4.9804070e+00', '-1.7679273e+00', ' 2.5123959e+01', '-6.8927071e-01', '-2.6397727e+01', '-5.5967431e+00', ' 0.0000000e+00', ' 1.8566336e+01', ' 1.4222793e+01', '-2.3528728e+01', '-3.3856072e+00', ' 7.0822135e+00', '-1.8558205e+01', '-6.2497739e+00', '-6.2738118e+00', '-1.5887565e+01', ' 2.5965062e+01', '-3.1995438e+00', '-2.5649519e+01']
['1.9677634e+01', '-3.0461487e+01', '-1.8455015e+01', '-2.0693771e+01', '-1.3652624e+01', ' 2.7393657e+01', ' 1.9735550e+01', '-2.1519076e+01', '-3.1288531e+01', '-2.0442943e+01', '-2.3004415e+01', ' 4.3599678e-01', ' 3.4565891e+01', '-2.3560547e+01', '-2.0298913e+01', ' 2.2201682e+01', '-3.0805739e+01', ' 2.7459094e+01', '-6.5246280e+00', '-2.0462531e+01', '-3.0388637e+01', '-1.0096060e+01', '-2.0847155e+00', '-2.4419442e+01', '-1.8559799e+01', ' 2.7109317e+01', '-5.7568723e+00', '-2.1595629e+01', ' 7.9137336e+00', ' 1.3066216e+01', '-1.1254525e+01', '-1.6749278e+01', '-1.7261681e+01', ' 6.6238199e-01', ' 2.8581957e+01', ' 2.3082010e+01', '-1.1818484e+01', ' 1.8566336e+01', ' 0.0000000e+00', '-2.4710515e+01', ' 2.9297998e+01', ' 2.9850642e+01', ' 1.4657918e+01', ' 1.4420591e+01', ' 2.4334697e+01', ' 6.2298700e+00', ' 1.0041464e+01', ' 3.2322752e+01', ' 1.5801779e+01', ' 2.8568557e+00']
['-1.2664680e+01', ' 2.2654227e+01', ' 1.6166299e+01', ' 6.7083344e+00', ' 1.1598065e+01', '-1.7057183e+01', '-1.9487784e+01', '-1.2886091e+01', ' 3.0023210e+01', ' 2.2876292e+01', ' 3.4837455e+00', '-6.8413707e+00', '-1.7109838e+01', '-1.0764449e+01', ' 3.0149733e+01', '-8.1281161e+00', ' 6.9581215e+00', '-3.6117680e+00', '-1.5707328e+01', ' 1.6696753e+01', ' 1.1668884e+01', '-6.4744648e+00', ' 2.2883231e+01', ' 4.1191751e+00', '-8.1426358e+00', ' 9.0064746e+00', ' 4.4451209e+00', ' 1.5149577e+01', '-1.1582783e-02', '-2.4459294e+01', ' 7.5012053e-01', ' 2.6742072e+01', ' 2.6020942e+01', ' 1.9319559e+01', '-2.2182015e+01', '-2.5668769e+01', ' 2.6731484e+01', ' 1.4222793e+01', '-2.4710515e+01', ' 0.0000000e+00', '-2.2434667e+01', '-2.2942712e+01', '-9.9728610e-01', '-1.5754397e+01', '-2.3960415e+01', '-1.3048645e+01', '-1.8413987e+01', '-1.4992254e+01', '-1.8214720e+01', '-1.8876701e+01']
['2.5111780e+01', '-2.8282629e+01', '-2.0450257e+01', '-2.5885076e+01', '-1.6090900e+01', ' 3.0401149e+01', ' 2.4425309e+01', '-1.0868425e+01', '-2.9696715e+01', '-2.3339619e+01', '-6.0667281e+00', ' 1.8410439e+01', ' 2.5064116e+01', '-1.9199269e+01', '-1.4742018e+01', ' 2.3478294e+01', '-2.9968875e+01', ' 1.7214363e+01', ' 1.6672362e+01', '-2.9847361e+01', '-2.4257934e+01', ' 1.4076056e+01', '-2.0312057e+01', '-2.4940452e+01', '-7.3758124e+00', ' 5.3369434e+00', '-6.8573535e+00', '-1.8868034e+01', ' 2.0416743e+01', ' 1.5277311e+01', ' 2.3035194e-01', '-2.1093390e+01', '-1.8781071e+01', '-2.1201521e+01', ' 2.7910430e+01', ' 3.0932764e+01', '-1.6228939e+01', '-2.3528728e+01', ' 2.9297998e+01', '-2.2434667e+01', ' 0.0000000e+00', ' 2.8851782e+01', ' 1.7319188e+01', ' 1.3078900e+01', ' 1.2668780e+01', ' 2.3440894e+00', ' 1.8528480e+01', ' 2.1197093e+01', ' 7.5182261e+00', ' 2.1413182e+01']
['2.0436443e+01', '-2.8028156e+01', '-2.0204981e+01', '-1.6470746e+01', '-1.4777154e+01', ' 2.1169254e+01', ' 2.6701398e+01', ' 2.7189889e+00', '-2.6789977e+01', '-2.2255900e+01', '-1.9430234e+01', '-9.9966451e+00', ' 2.6062790e+01', ' 4.6221742e+00', '-2.0965495e+01', '-1.1916932e+00', '-2.6890593e+01', ' 1.5745065e+01', '-7.9906769e+00', '-2.0328019e+01', '-1.1339112e+01', ' 1.4759571e+01', '-1.0122429e+01', '-2.4635775e+01', '-1.0804218e+01', ' 1.2206716e+01', '-5.5622046e+00', '-1.9762729e+01', '-1.0293639e+01', ' 1.6631458e+01', '-8.1519522e+00', '-2.0104599e+01', '-2.0051085e+01', '-8.4418681e-01', ' 2.6681867e+01', ' 2.8866898e+01', '-1.6643945e+01', '-3.3856072e+00', ' 2.9850642e+01', '-2.2942712e+01', ' 2.8851782e+01', ' 0.0000000e+00', ' 2.3686468e+01', ' 1.1704992e+01', ' 1.9499373e+01', ' 1.1081633e+01', ' 1.3193363e+01', ' 2.8340508e+01', ' 1.4031536e+01', ' 4.8993894e+00']
['1.5171390e+01', '-1.7213684e+01', '-5.0759027e+00', '-1.9642974e+01', ' 1.6344187e-01', ' 1.3154564e+01', ' 1.1009978e+01', ' 1.6862127e+01', '-3.7073011e+00', '-2.4004297e+01', ' 3.0889835e+00', '-2.4664131e+01', ' 2.0610681e+01', ' 1.2140940e+01', '-1.7866180e+01', '-9.9062713e+00', '-1.9933759e+01', ' 2.9681438e+01', ' 1.4049738e+01', '-1.7012282e+01', '-6.2451621e+00', ' 3.0733675e+01', '-1.5574916e+01', '-1.5995938e+01', ' 1.1638781e+01', '-1.4066813e+01', '-3.9150822e+00', '-8.7321709e+00', '-1.5624649e+01', ' 2.1085541e+01', '-1.1107340e+01', '-2.2952572e+01', '-2.4199403e+01', ' 1.8890076e+01', ' 1.2095659e+01', ' 2.1600726e+01', '-2.1700148e+01', ' 7.0822135e+00', ' 1.4657918e+01', '-9.9728610e-01', ' 1.7319188e+01', ' 2.3686468e+01', ' 0.0000000e+00', '-3.0465316e+00', '-8.5300079e+00', ' 1.2764184e+01', ' 1.9275315e+01', ' 1.1082117e+01', ' 8.4983893e-01', ' 2.0922882e+01']
['9.1874551e+00', '-1.6113206e+01', '-1.3036943e+01', '-6.5319586e+00', '-1.0496543e+01', '-7.4402043e+00', '-1.1538366e+01', '-1.0115214e-01', ' 7.2496372e+00', '-1.6075459e+01', '-8.0768217e+00', '-1.9197409e+01', '-6.1600821e+00', '-5.9988725e-01', '-8.0425336e+00', '-1.7460456e+01', '-2.0479890e+01', '-1.2228004e+01', '-2.7253316e+00', '-1.6015377e+00', '-1.8019623e+01', '-2.1397554e+01', '-1.2318835e+01', ' 6.8503780e+00', ' 9.1561597e+00', '-1.6392062e+01', '-9.7722503e+00', '-1.7085035e+01', '-2.3537369e+01', ' 2.0870732e+01', '-8.3063014e+00', '-1.0207775e+00', '-9.0471182e+00', '-8.8095722e+00', ' 1.4570068e+01', ' 1.5038292e+01', '-1.8138084e+00', '-1.8558205e+01', ' 1.4420591e+01', '-1.5754397e+01', ' 1.3078900e+01', ' 1.1704992e+01', '-3.0465316e+00', ' 0.0000000e+00', ' 2.4220697e+01', ' 2.8906839e+01', ' 1.0295173e+01', '-6.2147990e-01', ' 1.6240704e+01', ' 6.0865626e+00']
['6.4693881e+00', '-2.2590900e+01', '-1.2150794e+01', '-1.3102336e+01', '-1.9137735e+01', ' 4.1933818e+00', ' 1.8083858e+01', ' 9.2076269e+00', '-1.2574666e+01', '-2.2662294e+01', '-2.0175126e+01', '-8.7086088e+00', ' 1.5703373e+01', ' 1.5036382e+01', '-2.3825421e+01', '-1.0279614e+01', '-1.4045432e+01', ' 1.2025350e+01', ' 3.6204740e+00', '-7.9135701e+00', '-1.6175315e+01', '-1.4954914e+01', '-1.0735003e+01', ' 1.5855448e+01', ' 2.3905663e+01', '-9.1891868e+00', '-1.2046073e+01', '-1.7168643e+01', '-1.7419260e+01', ' 2.0512385e+01', '-7.0639591e+00', '-1.5998237e+01', '-1.7645962e+01', ' 2.2269224e+00', ' 2.2824073e+01', ' 2.0323876e+01', '-1.5383053e+01', '-6.2497739e+00', ' 2.4334697e+01', '-2.3960415e+01', ' 1.2668780e+01', ' 1.9499373e+01', '-8.5300079e+00', ' 2.4220697e+01', ' 0.0000000e+00', ' 2.3673257e+01', ' 1.0196562e+01', ' 1.4883912e+01', ' 1.8734871e+01', '-3.3307881e+00']
['8.3270238e+00', '-5.4784560e+00', ' 1.9369357e+00', ' 1.2932305e+01', ' 6.9435840e+00', '-1.5721172e+01', '-2.1754293e+01', ' 1.7134684e+01', ' 1.5433417e+01', '-1.7572893e+01', '-5.6016030e-01', '-3.0849981e+01', '-1.9391360e+01', ' 2.4321731e+01', '-1.9689750e+01', '-2.8258868e+01', ' 7.4259280e-01', '-1.3502638e+01', ' 2.1619176e+00', ' 3.7214496e+00', '-1.4369127e-01', '-1.0271861e+01', '-2.5976850e+00', ' 1.6235213e+01', ' 1.9537416e+01', '-2.1107475e+01', ' 6.8670500e+00', '-8.2619814e-01', '-2.7434797e+01', ' 2.7625618e+01', ' 4.6446292e+00', '-1.2548222e+01', '-1.3925013e+01', '-2.0897709e+00', ' 8.6653983e+00', ' 1.3691442e+01', '-1.7003586e+01', '-6.2738118e+00', ' 6.2298700e+00', '-1.3048645e+01', ' 2.3440894e+00', ' 1.1081633e+01', ' 1.2764184e+01', ' 2.8906839e+01', ' 2.3673257e+01', ' 0.0000000e+00', ' 1.6270650e+01', '-1.0218479e+01', ' 1.5556257e+01', ' 4.8893955e+00']
